GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
CCNE1	cyclin E1	COSG42695	19	30302805	30315215	19q12	y	n	serous ovarian			E	Dom	oncogene	A		n		1	CCNE1,ENSG00000105173.9,P24864,898
CCR4	C-C motif chemokine receptor 4	COSG6906	3	32993066	32997841	3p22.3	y	n	adult T-cell leukaemia/lymphoma			L		oncogene	N		n		2	CCR4,ENSG00000183813.6,P51679,1233,CC-CKR-4,CD194,CKR4,CMKBR4,ChemR13,k5-5
CCR7	C-C motif chemokine receptor 7	COSG6823	17	38710021	38721724	17q21.2	y	n	adult T-cell leukaemia/lymphoma			L		oncogene	N		n		2	CCR7,ENSG00000126353.3,P32248,1236,BLR2,CD197,CDw197
CD209	CD209 molecule	COSG37452	19	7804879	7812464	19p13.2	y	n	prostate carcinoma			E			Mis		n		2	CD209,ENSG00000090659.13,Q9NNX6,30835,CDSIGN,CLEC4L,DC-SIGN,DC-SIGN1
CD274	CD274 molecule	COSG7478	9	5450503	5470566	9p24.1	y	n	PMBL, Hodgkin lymphoma			L	Dom	TSG, fusion	T	CIITA	n		1	CD274,ENSG00000120217.9,Q9NZQ7,29126,B7-H,B7-H1,B7H1,PD-L1,PDL1
CD28	CD28 molecule	COSG1955	2	204571198	204603635	2q33.2	y	n	T-cell lymphoma			L		oncogene	Mis		n		2	CD28,ENSG00000178562.13,P10747,940
CD74	CD74 molecule	COSG23579	5	149781200	149792492	5q32	y	n	NSCLC			E	Dom	oncogene, fusion	T	ROS1, NRG1	n		1	CD74,ENSG00000019582.10,P04233,972
CD79A	CD79a molecule	COSG40170	19	42381190	42385439	19q13.2	y	n	DLBCL, WM			L	Dom	oncogene	S		y	Agammaglobulinaemia	1	CD79A,ENSG00000105369.5,P11912,973,MB-1
CD79B	CD79b molecule	COSG40857	17	62006100	62009714	17q23.3	y	n	DLBCL, WM			L	Dom	oncogene	Mis, S		y	Agammaglobulinaemia	1	CD79B,ENSG00000007312.8,P40259,974,B29
CDC73	cell division cycle 73	COSG37517	1	193091147	193223031	1q31.2	y	y	parathyroid adenoma	parathyroid adenoma, multiple ossifying jaw fibroma	hyperparathyroidism-jaw tumour syndrome	E, M	Rec	TSG	Mis, N, F		n		1	CDC73,ENSG00000134371.9,Q6P1J9,79577,FIHP,parafibromin
CDH1	cadherin 1	COSG21615	16	68771128	68869451	16q22.1	y	y	lobular breast, gastric	gastric	familial gastric carcinoma	E	Rec	TSG	Mis, N, F, S		n		1	CDH1,ENSG00000039068.14,P12830,999,CD324,uvomorulin
CDH10	cadherin 10	COSG28851	5	24487209	24645087	5p14.2	y	y	melanoma	pancreatic ductal adenocarcinoma		E		TSG	Mis, F, N		n		2	CDH10,ENSG00000040731.6,Q9Y6N8,1008
CDH11	cadherin 11	COSG51678	16	64977656	65160015	16q21	y	n	aneurysmal bone cyst			M	Dom	TSG, fusion	T	USP6	n		1	CDH11,ENSG00000140937.9,P55287,1009,CAD11,OB
CDH17	cadherin 17	COSG36411	8	95139399	95229531	8q22.1	y	n	melanoma			E		oncogene	Mis		n		2	CDH17,ENSG00000079112.5,Q12864,1015,HPT-1,cadherin
CDK12	cyclin dependent kinase 12	COSG479	17	37617764	37721160	17q12	y	n	serous ovarian			E	Rec	TSG	Mis, N, F		n		1	CDK12,ENSG00000167258.9,Q9NYV4,51755,CRK7,CRKR,KIAA0904
CDK4	cyclin dependent kinase 4	COSG33252	12	58141510	58149796	12q14.1	n	y		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis		n		1	CDK4,ENSG00000135446.12,P11802,1019,PSK-J3
CDK6	cyclin dependent kinase 6	COSG19722	7	92234235	92465908	7q21.2	y	n	ALL			L	Dom	oncogene, fusion	T	MLLT10	n		1	CDK6,ENSG00000105810.5,Q00534,1021,PLSTIRE
CDKN1A	cyclin dependent kinase inhibitor 1A	COSG50542	6	36644305	36655116	6p21.2	y	n	bladder cancer			E		oncogene, TSG	F, N		n		2	CDKN1A,ENSG00000124762.9,P38936,1026,CAP20,CIP1,P21,SDI1,WAF1,p21,p21CIP1,p21Cip1/Waf1
CDKN1B	cyclin dependent kinase inhibitor 1B	COSG41867	12	12867992	12875305	12p13.1	y	y	breast, small intestine neuroendocrine tumours	pituitary, parathyroid	multiple endocrine neoplasia type IV	E	Rec	TSG	F		n		1	CDKN1B,ENSG00000111276.6,P46527,1027,KIP1,P27KIP1
CDKN2A	cyclin dependent kinase inhibitor 2A	COSG8483	9	21967751	21995300	9p21.3	y	y	melanoma, multiple other tumour types	melanoma, pancreatic	familial malignant melanoma	L, E, M, O	Rec	TSG	D, Mis, N, F, S		n		1	CDKN2A,ENSG00000147889.12,P42771,1029,ARF,CDK4I,CMM2,INK4,INK4a,MTS1,p14,p14ARF,p16,p16INK4a,p19,p19Arf
CDKN2C	cyclin dependent kinase inhibitor 2C	COSG4258	1	51426417	51440305	1p32.3	y	n	glioma, MM			O, L	Rec	TSG	D		n		1	CDKN2C,ENSG00000123080.6,P42773,1031,INK4C,p18
CDX2	caudal type homeobox 2	COSG4051	13	28536274	28545276	13q12.2	y	n	AML			L	Dom	TSG, fusion	T	ETV6	n		1	CDX2,ENSG00000165556.9,Q99626,1045
CEBPA	CCAAT enhancer binding protein alpha	COSG38866	19	33790840	33793470	19q13.11	y	n	AML, MDS			L	Dom	TSG	Mis, N, F		n		1	CEBPA,ENSG00000245848.2,P49715,1050,C/EBP-alpha
CEP89	centrosomal protein 89	COSG35656	19	33369902	33462897	19q13.11	y	n	Spitzoid tumour			E	Dom	fusion	T	BRAF	n		2	CEP89,ENSG00000121289.13,Q96ST8,84902,FLJ14640
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	COSG11073	8	57124245	57131357	8q12.1	y	n	salivary adenoma			E	Dom	fusion	T	PLAG1	n		1	CHCHD7,ENSG00000170791.13,Q9BUK0,79145,COX23,MGC2217
CHD2	chromodomain helicase DNA binding protein 2	COSG36790	15	93426526	93571237	15q26.1	y	n	melanoma, large intestine, CLL, monoclonal B lymphocytosis			E, L		TSG	Mis, F, N		n		2	CHD2,ENSG00000173575.14,O14647,1106,DKFZp547I1315,DKFZp686E01200,DKFZp781D1727,FLJ38614
CHD4	chromodomain helicase DNA binding protein 4	COSG2076	12	6679249	6716642	12p13.31	y	n	uterine serous carcinoma			E	Dom	oncogene	Mis, F, N		n		1	CHD4,ENSG00000111642.10,Q14839,1108,Mi-2b,Mi2-BETA
CHEK2	checkpoint kinase 2	COSG25250	22	29083731	29138410	22q12.1	n	y		breast	familial breast cancer	E	Rec	TSG	F		n		1	CHEK2,ENSG00000183765.16,O96017,11200,CDS1,CHK2,HuCds1,PP1425,bA444G7
CHIC2	cysteine rich hydrophobic domain 2	COSG51402	4	54875956	54930857	4q12	y	n	AML			L	Dom	fusion	T	ETV6	n		2	CHIC2,ENSG00000109220.6,Q9UKJ5,26511,BTL
CHST11	carbohydrate sulfotransferase 11	COSG53899	12	104849073	105155792	12q23.3	y	n	B-CLL			L		oncogene, fusion	T		n		2	CHST11,ENSG00000171310.6,Q9NPF2,50515,C4ST,C4ST1,C4St-1,HSA269537
CIC	capicua transcriptional repressor	COSG52603	19	42772689	42799949	19q13.2	y	n	oligodendroglioma, soft tissue sarcoma			O, M	Rec	oncogene, TSG, fusion	Mis, F, S,T	DUX4L1, FOXO4	n		1	CIC,ENSG00000079432.3,Q96RK0,23152,KIAA0306
CIITA	class II major histocompatibility complex transactivator	COSG7604	16	10971055	11026079	16p13.13	y	n	PMBL, Hodgkin lymphoma			L	Dom	TSG, fusion	T	C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6	n		1	CIITA,ENSG00000179583.13,P33076,4261,C2TA,NLRA
CLIP1	CAP-Gly domain containing linker protein 1	COSG50985	12	122755979	122907179	12q24.31	y	n	Spitzoid tumour			E	Dom	fusion	T	ROS1	n		1	CLIP1,ENSG00000130779.15,P30622,6249,CLIP,CLIP-170,CLIP170,CYLN1
CLP1	cleavage and polyadenylation factor I subunit 1	COSG13288	11	57416465	57429340	11q12.1	y	n	AML			L	Dom	fusion	T	KMT2A	n		2	CLP1,ENSG00000172409.5,Q92989,10978,HEAB,hClp1
CLTC	clathrin heavy chain	COSG20684	17	57697219	57773671	17q23.1	y	n	ALCL, renal			L	Dom	TSG, fusion	T	ALK, TFE3	n		1	CLTC,ENSG00000141367.7,Q00610,1213,Hc
CLTCL1	clathrin heavy chain like 1	COSG51973	22	19166986	19279239	22q11.21	y	n	ALCL			L	Dom	TSG, fusion	T	?	n		1	CLTCL1,ENSG00000070371.11,P53675,8218,CHC22,CLH22,CLTD
CNBD1	cyclic nucleotide binding domain containing 1	COSG12437	8	87878670	88627447	8q21.3	y	n	gastric cancer, colon cancer			E			Mis		n		2	CNBD1,ENSG00000176571.7,Q8NA66,168975,FLJ35802
CNBP	CCHC-type zinc finger nucleic acid binding protein	COSG15572	3	128888327	128902765	3q21.3	y	n	aneurysmal bone cyst			M	Dom	TSG, fusion	T	USP6	n		1	CNBP,ENSG00000169714.12,P62633,7555,CNBP1,RNF163,ZCCHC22
CNOT3	CCR4-NOT transcription complex subunit 3	COSG12428	19	54641444	54659419	19q13.42	y	n	T-ALL			L	Rec	TSG	Mis, N, F		n		1	CNOT3,ENSG00000088038.13,O75175,4849,KIAA0691,LENG2,NOT3H
CNTNAP2	contactin associated protein like 2	COSG2618	7	145813453	148118090	7q36.1	y	n	glioma, melanoma			E, O		TSG	Mis		n		2	CNTNAP2,ENSG00000174469.13,Q9UHC6,26047,Caspr2,KIAA0868,NRXN4
CNTRL	centriolin	COSG22873	9	123837141	123939888	9q33.2	y	n	MPN, NHL			L	Dom	fusion	T	FGFR1	n		1	CNTRL,ENSG00000119397.12,Q7Z7A1,11064
COL1A1	collagen type I alpha 1 chain	COSG24837	17	48260650	48278993	17q21.33	y	n	DFSP, aneurysmal bone cyst			M	Dom	fusion	T	PDGFB, USP6	y	Osteogenesis imperfecta	1	COL1A1,ENSG00000108821.9,P02452,1277,OI4
COL2A1	collagen type II alpha 1 chain	COSG17340	12	48366748	48398269	12q13.11	y	n	chondrosarcoma, enchondroma			M	Rec	fusion	T	GMEB1, LINC00513, LOC101927502, PPP1R42, TANC2, TMEM106C	y	Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others	1	COL2A1,ENSG00000139219.13,P02458,1280,STL1
COL3A1	collagen type III alpha 1 chain	COSG27551	2	189839046	189877472	2q32.2	y	n	lipoblastoma			E		fusion	T	PLAG1	n		2	COL3A1,ENSG00000168542.8,P02461,1281
COX6C	cytochrome c oxidase subunit 6C	COSG23012	8	100885428	100906290	8q22.2	y	n	uterine leiomyoma			M	Dom	fusion	T	HMGA2	n		2	COX6C,ENSG00000164919.6,P09669,1345
CPEB3	cytoplasmic polyadenylation element binding protein 3	COSG20330	10	93806449	94050844	10q23.32	y	n	lung cancer			E		TSG	D		n		2	CPEB3,ENSG00000107864.10,Q8NE35,22849,KIAA0940
CREB1	cAMP responsive element binding protein 1	COSG3986	2	208394461	208468155	2q33.3	y	n	clear cell sarcoma, angiomatoid fibrous histiocytoma			M	Dom	oncogene, fusion	T	EWSR1	n		1	CREB1,ENSG00000118260.10,P16220,1385
CREB3L1	cAMP responsive element binding protein 3 like 1	COSG45117	11	46299212	46342972	11p11.2	y	n	myxofibrosarcoma			M	Dom	TSG, fusion	T	FUS	n		1	CREB3L1,ENSG00000157613.6,Q96BA8,90993,OASIS
CREB3L2	cAMP responsive element binding protein 3 like 2	COSG28697	7	137559725	137686813	7q33	y	n	fibromyxoid sarcoma			M	Dom	oncogene, fusion	T	FUS	n		1	CREB3L2,ENSG00000182158.10,Q70SY1,64764,BBF2H7,TCAG_1951439
CREBBP	CREB binding protein	COSG6107	16	3775055	3930727	16p13.3	y	n	ALL, AML, DLBCL, B-NHL			L	Dom/Rec	oncogene, TSG, fusion	T, N, F, Mis, O	KMT2A, MORF, KAT6A	y	Rubinstein-Taybi syndrome	1	CREBBP,ENSG00000005339.8,Q92793,1387,CBP,KAT3A,RTS
CRLF2	cytokine receptor like factor 2	COSG12100	X	1314890	1331616	Xp22.33	y	n	B-ALL, Downs associated ALL			L	Dom	oncogene, fusion	Mis, T	P2RY8, IGH	n		1	CRLF2,ENSG00000205755.6,64109,CRL2,TSLPR
CRNKL1	crooked neck pre-mRNA splicing factor 1	COSG22951	20	20015012	20036690	20p11.23	y	n	basal cell carcinoma			E			Mis		n		2	CRNKL1,ENSG00000101343.10,Q9BZJ0,51340,CLF,CRN,Clf1,SYF3
CRTC1	CREB regulated transcription coactivator 1	COSG46644	19	18794487	18893004	19p13.11	y	n	salivary gland mucoepidermoid			E	Dom	oncogene, fusion	T	MAML2	n		1	CRTC1,ENSG00000105662.11,Q6UUV9,23373,FLJ14027,KIAA0616,TORC1
CRTC3	CREB regulated transcription coactivator 3	COSG30958	15	91073157	91188577	15q26.1	y	n	salivary gland mucoepidermoid			E	Dom	fusion	T	MAML2	n		1	CRTC3,ENSG00000140577.11,Q6UUV7,64784,FLJ21868
CSF1R	colony stimulating factor 1 receptor	COSG19280	5	149432854	149492935	5q32	y	n	MDS, CML, AML, hemangioblastoma, CCRCC			L, M, E		oncogene	Mis, N		y	diffuse leukoencephalopathy with spheroids	2	CSF1R,ENSG00000182578.9,P07333,1436,C-FMS,CD115,CSFR
CSF3R	colony stimulating factor 3 receptor	COSG16010	1	36931644	36948879	1p34.3	y	n	aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS			L	Dom	oncogene	Mis, N		y	Kostmann syndrome, severe congenital neutropenia	1	CSF3R,ENSG00000119535.13,Q99062,1441,GCSFR
CSMD3	CUB and Sushi multiple domains 3	COSG9528	8	113235157	114449328	8q23.3	y	n	ovarian cancer, oral SCC, lung cancer			E		TSG	Mis, N		n		2	CSMD3,ENSG00000164796.13,Q7Z407,114788
CTCF	CCCTC-binding factor	COSG35715	16	67596310	67673086	16q22.1	y	n	endometrial, breast, head and neck cancer			E	Dom	TSG	Mis, N		n	Mental retardation, autosomal dominant 21	1	CTCF,ENSG00000102974.10,P49711,10664
CTNNA1	catenin alpha 1	COSG16116	5	137946656	138270723	5q31.2	y	y	AML, MDS, cutaneous melanoma	gastric cancer	Hereditary Diffuse Gastric Cancer Syndrome	E, L		TSG, fusion	D, Mis, N, T	RAF1	n		2	CTNNA1,ENSG00000044115.16,P35221,1495,CAP102
CTNNA2	catenin alpha 2	COSG6394	2	79412357	80875905	2p12	y	n	gastric cancer			E		oncogene	Mis, S		n		2	CTNNA2,ENSG00000066032.14,P26232,1496,CAP-R,CT114
CTNNB1	catenin beta 1	COSG39327	3	41236328	41301587	3p22.1	y	n	colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types			E, M, O	Dom	oncogene, fusion	Mis, O, T	PLAG1	n		1	CTNNB1,ENSG00000168036.12,P35222,1499,armadillo,beta-catenin
CTNND1	catenin delta 1	COSG6693	11	57520715	57587018	11q12.1	y	n	large intestine carcinoma			E			N		n		2	CTNND1,ENSG00000198561.8,O60716,1500,KIAA0384,p120,p120cas,p120ctn
CTNND2	catenin delta 2	COSG31692	5	10971952	11904155	5p15.2	y	n	prostate adenocarcinoma, GIST			E		oncogene	Mis		n		2	CTNND2,ENSG00000169862.14,Q9UQB3,1501,GT24,NPRAP
CUL3	cullin 3	COSG16384	2	225334867	225450110	2q36.2	y	n	lung cancer			E		TSG	N		n		2	CUL3,ENSG00000036257.8,Q13618,8452
CUX1	cut like homeobox 1	COSG34369	7	101458959	101927249	7q22.1	y	n	endometrial, melanoma, colorectal, AML, MDS, other tumour types			E,L,M,O	Dom	oncogene, TSG	N,F,S,Mis,O,T	CLDN7	n		1	CUX1,ENSG00000257923.5,P39880,1523,CASP,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUX,Clox,Cux/CDP,GOLIM6
CXCR4	C-X-C motif chemokine receptor 4	COSG48523	2	136871919	136875735	2q22.1	y	n	WM			L	Dom	oncogene	Mis, N, F		n		1	CXCR4,ENSG00000121966.6,P61073,7852,CD184,D2S201E,HM89,HSY3RR,LESTR,NPY3R,NPYR,NPYY3R,fusin
CYLD	CYLD lysine 63 deubiquitinase	COSG48188	16	50775961	50835846	16q12.1	y	y	cylindroma	cylindroma	familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome	E	Rec	TSG	Mis, N, F, S		n		1	CYLD,ENSG00000083799.13,Q9NQC7,1540,KIAA0849,USPL2
CYP2C8	cytochrome P450 family 2 subfamily C member 8	COSG31125	10	96796530	96829254	10q23.33	y	n	melanoma			E			Mis		n		2	CYP2C8,ENSG00000138115.9,P10632,1558,CPC8
CYSLTR2	cysteinyl leukotriene receptor 2	COSG41636	13	49280951	49283498	13q14.2	y	n	uveal melanoma			E		oncogene	Mis		n		2	CYSLTR2,ENSG00000152207.3,Q9NS75,57105,CYSLT2R,CysLT(2)
DAXX	death domain associated protein	COSG57381	6	33286335	33297046	6p21.32	y	n	pancreatic neuroendocrine tumour, paediatric glioblastoma			E	Rec	oncogene, TSG	Mis, F, N		n		1	DAXX,ENSG00000204209.6,Q9UER7,1616,DAP6
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	COSG7186	X	125298337	125300080	Xq25	y	n	CRC			E			Mis		n		2	DCAF12L2,ENSG00000198354.4,Q5VW00,340578
DCC	DCC netrin 1 receptor	COSG31216	18	49866542	51057784	18q21.2	y	n	CRC, melanoma, SCC			E			Mis, N, D		n		2	DCC,ENSG00000187323.7,P43146,1630,IGDCC1,NTN1R1
DCTN1	dynactin subunit 1	COSG26912	2	74588281	74619214	2p13.1	y	n	inflammatory myofibroblastic tumour, Spitzoid tumour			M	Dom	fusion	T	ALK, ROS1	y	Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome	1	DCTN1,ENSG00000204843.8,Q14203,1639
DDB2	damage specific DNA binding protein 2	COSG37923	11	47236493	47260767	11p11.2	n	y		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (E)	E	Rec	oncogene, TSG	Mis, N		n		1	DDB2,ENSG00000134574.7,Q92466,1643,DDBB,FLJ34321,UV-DDB2,XPE
DDIT3	DNA damage inducible transcript 3	COSG30541	12	57910371	57914300	12q13.3	y	n	liposarcoma			M	Dom	oncogene, fusion	T	FUS, EWSR1	n		1	DDIT3,ENSG00000175197.6,P35638,1649,CHOP,CHOP10,GADD153
DDR2	discoidin domain receptor tyrosine kinase 2	COSG55429	1	162601163	162757190	1q23.3	y	n	squamous cell carcinoma, NSCLC			E	Dom	oncogene	Mis, N		y	Spondylometaepiphyseal dysplasia, short limb-hand type	1	DDR2,ENSG00000162733.12,Q16832,4921,TKT
DDX10	DEAD-box helicase 10	COSG40655	11	108535752	108811657	11q22.3	y	n	AML*			L	Dom	TSG, fusion	T	NUP98	n		1	DDX10,ENSG00000178105.5,Q13206,1662,Dbp4,HRH-J8
DDX3X	DEAD-box helicase 3 X-linked	COSG27619	X	41192651	41223725	Xp11.4	y	n	CLL, medulloblastoma			L, O		TSG	Mis, N, F		y	Mental retardation, X-linked 102	1	DDX3X,ENSG00000215301.5,O00571,1654,DBX,DDX14,HLP2
DDX5	DEAD-box helicase 5	COSG19855	17	62495734	62504317	17q23.3	y	n	prostate			E	Dom	oncogene, fusion	T	ETV4	n		1	DDX5,ENSG00000108654.7,P17844,1655,p68
DDX6	DEAD-box helicase 6	COSG49688	11	118620034	118661858	11q23.3	y	n	B-NHL			L	Dom	oncogene, fusion	T	IGH	n		1	DDX6,ENSG00000110367.7,P26196,1656,RCK
DEK	DEK proto-oncogene	COSG57109	6	18224099	18265054	6p22.3	y	n	AML			L	Dom	oncogene, fusion	T	NUP214	n		1	DEK,ENSG00000124795.10,P35659,7913,D6S231E
DGCR8	DGCR8, microprocessor complex subunit	COSG28730	22	20067755	20099400	22q11.21	y	n	Wilms tumour			O		oncogene	Mis		n		2	DGCR8,ENSG00000128191.9,Q8WYQ5,54487,DGCRK6,Gy1,pasha
DICER1	dicer 1, ribonuclease III	COSG46920	14	95552565	95624347	14q32.13	y	y	sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types	pleuropulmonary blastoma	familial pleuropulmonary blastoma or DICER1 syndrome	E, M, O	Rec	TSG	Mis, F, N		n		1	DICER1,ENSG00000100697.10,Q9UPY3,23405,Dicer,HERNA,K12H4.8-LIKE,KIAA0928
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	COSG2438	19	14625582	14640582	19p13.12	y	n	fibrolamellar hepatocellular carcinoma			E	Dom	fusion	T	PRKACA	n		1	DNAJB1,ENSG00000132002.3,P25685,3337,Hsp40,RSPH16B,Sis1
DNM2	dynamin 2	COSG9642	19	10828755	10944164	19p13.2	y	n	T-ALL			L	Rec	TSG	F, N, S, Mis, O		y	Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5	1	DNM2,ENSG00000079805.12,P50570,1785,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII
DNMT3A	DNA methyltransferase 3 alpha	COSG27406	2	25455845	25565459	2p23.3	y	n	AML			L	Dom	TSG	Mis, F, N, S		n		1	DNMT3A,ENSG00000119772.12,Q9Y6K1,1788
DROSHA	drosha ribonuclease III	COSG29469	5	31400604	31532303	5p13.3	y	n	Wilms tumour, NSCLC, bladder carcinoma			E, O		TSG	A, Mis, N, F		n		1	DROSHA,ENSG00000113360.12,Q9NRR4,29102,Etohi2,HSA242976,RN3,RNASE3L
EBF1	EBF transcription factor 1	COSG3679	5	158122928	158526769	5q33.3	y	n	lipoma			M	Dom	TSG, fusion	T	HMGA2	n		1	EBF1,ENSG00000164330.12,Q9UH73,1879,COE1,OLF1
ECT2L	epithelial cell transforming 2 like	COSG44399	6	139117063	139225207	6q24.1	y	n	ETP ALL			L	Rec		N, S, Mis		n		2	ECT2L,ENSG00000203734.7,Q008S8,345930,ARHGEF32,FBXO49,LFDH
EED	embryonic ectoderm development	COSG29594	11	85955586	85989855	11q14.2	y	n	malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma			E, L		TSG	Mis, F		n		2	EED,ENSG00000074266.13,O75530,8726,HEED,WAIT-1
EGFR	epidermal growth factor receptor	COSG35617	7	55086714	55324313	7p11.2	y	y	glioma, NSCLC	NSCLC	familial lung cancer	E, O	Dom	oncogene	A, O, Mis		n		1	EGFR,ENSG00000146648.11,P00533,1956,ERBB1
EIF1AX	eukaryotic translation initiation factor 1A X-linked	COSG4608	X	20142636	20159962	Xp22.12	y	n	uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer			E			Mis, S		n		2	EIF1AX,ENSG00000173674.6,P47813,1964,eIF-1A,eIF-4C
EIF3E	eukaryotic translation initiation factor 3 subunit E	COSG13530	8	109213445	109447562	8q23.1	y	n	colorectal			E	Dom	TSG, fusion	T	RSPO3	n		1	EIF3E,ENSG00000104408.5,P60228,3646,eIF3-p48,eIF3e
EIF4A2	eukaryotic translation initiation factor 4A2	COSG44170	3	186500994	186507689	3q27.3	y	n	NHL			L	Dom	fusion	T	BCL6	n		1	EIF4A2,ENSG00000156976.10,Q14240,1974,BM-010,DDX2B,EIF4A
ELF3	E74 like ETS transcription factor 3	COSG41310	1	201977073	201986316	1q32.1	y	n	pancreatic cancer			E		TSG	Mis, N, F		n		2	ELF3,ENSG00000163435.11,P78545,1999,EPR-1,ERT,ESE-1
ELF4	E74 like ETS transcription factor 4	COSG6179	X	129198849	129244691	Xq26.1	y	n	AML			L	Dom	oncogene, TSG, fusion	T	ERG	n		1	ELF4,ENSG00000102034.12,Q99607,2000,ELFR,MEF
ELK4	ELK4, ETS transcription factor	COSG17952	1	205577071	205601090	1q32.1	y	n	prostate			E	Dom	oncogene, fusion	T	SLC45A3	n		1	ELK4,ENSG00000158711.9,P28324,2005,SAP1
ELL	elongation factor for RNA polymerase II	COSG6355	19	18553473	18632937	19p13.11	y	n	AL			L	Dom	TSG, fusion	T	KMT2A	n		1	ELL,ENSG00000105656.8,P55199,8178,ELL1,Men,PPP1R68
ELN	elastin	COSG42330	7	73442119	73484237	7q11.23	y	n	B-ALL			L	Dom	fusion	T	PAX5	y	Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome	2	ELN,ENSG00000049540.12,P15502,2006,SVAS,WBS,WS
EML4	echinoderm microtubule associated protein like 4	COSG2934	2	42396490	42559688	2p21	y	n	NSCLC			E	Dom	fusion	T	ALK	n		1	EML4,ENSG00000143924.14,Q9HC35,27436,ELP120,ROPP120
EP300	E1A binding protein p300	COSG39791	22	41487790	41576081	22q13.2	y	n	colorectal, breast, pancreatic, AML, ALL, DLBCL			L, E	Rec	TSG, fusion	T,  N, F, Mis, O	KMT2A, KAT6A	n		1	EP300,ENSG00000100393.9,Q09472,2033,KAT3B,p300
EPAS1	endothelial PAS domain protein 1	COSG13713	2	46520806	46613836	2p21	y	n	paraganglioma, pheochromocytoma, central nervous system hemangioblastomas			E, M	Dom	oncogene, TSG	Mis		y	type 3 familial erythrocytosis	1	EPAS1,ENSG00000116016.9,Q99814,2034,HIF2A,HLF,MOP2,PASD2,bHLHe73
EPHA3	EPH receptor A3	COSG52268	3	89156674	89531284	3p11.1	y	n	lung cancer, CRC, melanoma			E			Mis		n		2	EPHA3,ENSG00000044524.6,P29320,2042,HEK,HEK4
EPHA7	EPH receptor A7	COSG38341	6	93949738	94129265	6q16.1	y	n	CRC, melanoma			E			Mis		n		2	EPHA7,ENSG00000135333.9,Q15375,2045,Hek11
EPS15	epidermal growth factor receptor pathway substrate 15	COSG44	1	51819935	51985000	1p32.3	y	n	ALL			L	Dom	TSG, fusion	T	KMT2A	n		1	EPS15,ENSG00000085832.12,P42566,2060,AF-1P,MLLT5
ERBB2	erb-b2 receptor tyrosine kinase 2	COSG18133	17	37844167	37886679	17q12	y	n	breast, ovarian, other tumour types, NSCLC, gastric			E	Dom	oncogene, fusion	A, Mis, O, T		n		1	ERBB2,ENSG00000141736.9,P04626,2064,CD340,HER-2,HER2,NEU
ERBB3	erb-b2 receptor tyrosine kinase 3	COSG41280	12	56473641	56497289	12q13.2	y	n	colon, gastric, head and neck, bladder, skin			E	Dom	oncogene	Mis, N		n		1	ERBB3,ENSG00000065361.10,P21860,2065,HER3
ERBB4	erb-b2 receptor tyrosine kinase 4	COSG41241	2	212240446	213403565	2q34	y	y	melanoma, gastric, NSCLC			E	Dom	oncogene, TSG	Mis, N		y	Amyotrophic lateral sclerosis 19	1	ERBB4,ENSG00000178568.9,Q15303,2066,ALS19,HER4
ERC1	ELKS/RAB6-interacting/CAST family member 1	COSG34019	12	1099675	1605099	12p13.33	y	n	papillary thyroid, Spitzoid tumour			E	Dom	fusion	T	RET, ROS1	n		1	ERC1,ENSG00000082805.15,Q8IUD2,23085,CAST2,ELKS,KIAA1081,MGC12974
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	COSG21538	19	45853095	45874176	19q13.32	n	y		skin basal cell, skin squamous cell, melanoma	xeroderma pigmentosum (D)	E	Rec	TSG	Mis, N, F, S		n		1	ERCC2,ENSG00000104884.10,P18074,2068,EM9,MAG,MGC102762,MGC126218,MGC126219,TFIIH
